commit,acquired_at_utc,acquired_at_local,commit_time,subject,previous_commit,previous_acquired_at_local,source,level,name,mode,previous_reported,reported,total,key,event,changes,candidate
ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2026-09-06T20:11:13.043213+00:00,2026-09-06T22:11:13.043213+02:00,2026-09-06T20:11:14Z,2026-lsa poll 2026-09-06T20:11:13.043213+00:00,e91d1f5dd74691f625b5fb7cfd67fa79e34311d1,2026-09-06T22:06:23.019099+02:00,normalized,GEMEINDE,"Annaburg, Stadt",TOTAL,14,14,14,lsa:GEMEINDE:15091010,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:D4"":{""after"":168,""before"":151,""delta"":17},""party:D5"":{""after"":68,""before"":85,""delta"":-17}}",True
5b1254083eec780de1c02d5990127efb412a5dcd,2026-09-06T20:33:43.048543+00:00,2026-09-06T22:33:43.048543+02:00,2026-09-06T20:33:44Z,2026-lsa poll 2026-09-06T20:33:43.048543+00:00,1701369eb36f9ae3dc5f2d14771ca827fc6a8841,2026-09-06T22:27:22.888490+02:00,normalized,GEMEINDE,"Mücheln (Geiseltal), Stadt",TOTAL,12,12,12,lsa:GEMEINDE:15088235,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:D5"":{""after"":164,""before"":160,""delta"":4},""party:D6"":{""after"":128,""before"":132,""delta"":-4},""party:F5"":{""after"":103,""before"":99,""delta"":4},""party:F6"":{""after"":206,""before"":210,""delta"":-4}}",True
5b1254083eec780de1c02d5990127efb412a5dcd,2026-09-06T20:33:43.048543+00:00,2026-09-06T22:33:43.048543+02:00,2026-09-06T20:33:44Z,2026-lsa poll 2026-09-06T20:33:43.048543+00:00,1701369eb36f9ae3dc5f2d14771ca827fc6a8841,2026-09-06T22:27:22.888490+02:00,normalized,KREIS,Saalekreis,TOTAL,198,198,207,lsa:KREIS:15088,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D5"":{""after"":4151,""before"":4147,""delta"":4},""party:D6"":{""after"":2406,""before"":2410,""delta"":-4},""party:F5"":{""after"":2654,""before"":2650,""delta"":4},""party:F6"":{""after"":6413,""before"":6417,""delta"":-4}}",True
5b1254083eec780de1c02d5990127efb412a5dcd,2026-09-06T20:33:43.048543+00:00,2026-09-06T22:33:43.048543+02:00,2026-09-06T20:33:44Z,2026-lsa poll 2026-09-06T20:33:43.048543+00:00,1701369eb36f9ae3dc5f2d14771ca827fc6a8841,2026-09-06T22:27:22.888490+02:00,normalized,WAHLKREIS,Querfurt,TOTAL,89,89,90,lsa:WAHLKREIS:032,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D5"":{""after"":1284,""before"":1280,""delta"":4},""party:D6"":{""after"":712,""before"":716,""delta"":-4},""party:F5"":{""after"":826,""before"":822,""delta"":4},""party:F6"":{""after"":1369,""before"":1373,""delta"":-4}}",True
4c2543e68df2f3d92b3380232f466993b6c58edd,2026-09-06T20:50:14.343235+00:00,2026-09-06T22:50:14.343235+02:00,2026-09-06T20:50:15Z,2026-lsa poll 2026-09-06T20:50:14.343235+00:00,56a56a3f176057537914f8050630b42b588b245d,2026-09-06T22:44:40.986867+02:00,normalized,GEMEINDE,"Quedlinburg, Welterbestadt",TOTAL,18,18,18,lsa:GEMEINDE:15085235,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:F2"":{""after"":6068,""before"":6069,""delta"":-1},""party:F3"":{""after"":1224,""before"":1223,""delta"":1}}",True
4c2543e68df2f3d92b3380232f466993b6c58edd,2026-09-06T20:50:14.343235+00:00,2026-09-06T22:50:14.343235+02:00,2026-09-06T20:50:15Z,2026-lsa poll 2026-09-06T20:50:14.343235+00:00,56a56a3f176057537914f8050630b42b588b245d,2026-09-06T22:44:40.986867+02:00,normalized,GEMEINDE,Südharz,TOTAL,18,18,18,lsa:GEMEINDE:15087412,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:F1"":{""after"":1073,""before"":1074,""delta"":-1},""party:F5"":{""after"":133,""before"":134,""delta"":-1},""valid_votes_zweit"":{""after"":5657,""before"":5659,""delta"":-2}}",True
4c2543e68df2f3d92b3380232f466993b6c58edd,2026-09-06T20:50:14.343235+00:00,2026-09-06T22:50:14.343235+02:00,2026-09-06T20:50:15Z,2026-lsa poll 2026-09-06T20:50:14.343235+00:00,56a56a3f176057537914f8050630b42b588b245d,2026-09-06T22:44:40.986867+02:00,normalized,KREIS,Harz,TOTAL,222,222,227,lsa:KREIS:15085,numeric_decrease|revision_at_fixed_reporting_count,"{""party:F2"":{""after"":55153,""before"":55154,""delta"":-1},""party:F3"":{""after"":9803,""before"":9802,""delta"":1}}",True
4c2543e68df2f3d92b3380232f466993b6c58edd,2026-09-06T20:50:14.343235+00:00,2026-09-06T22:50:14.343235+02:00,2026-09-06T20:50:15Z,2026-lsa poll 2026-09-06T20:50:14.343235+00:00,56a56a3f176057537914f8050630b42b588b245d,2026-09-06T22:44:40.986867+02:00,normalized,KREIS,Mansfeld-Südharz,TOTAL,199,199,201,lsa:KREIS:15087,numeric_decrease|revision_at_fixed_reporting_count,"{""party:F1"":{""after"":13713,""before"":13714,""delta"":-1},""party:F5"":{""after"":1811,""before"":1812,""delta"":-1},""valid_votes_zweit"":{""after"":78347,""before"":78349,""delta"":-2}}",True
4c2543e68df2f3d92b3380232f466993b6c58edd,2026-09-06T20:50:14.343235+00:00,2026-09-06T22:50:14.343235+02:00,2026-09-06T20:50:15Z,2026-lsa poll 2026-09-06T20:50:14.343235+00:00,56a56a3f176057537914f8050630b42b588b245d,2026-09-06T22:44:40.986867+02:00,normalized,WAHLKREIS,Quedlinburg,TOTAL,59,59,60,lsa:WAHLKREIS:017,numeric_decrease|revision_at_fixed_reporting_count,"{""party:F2"":{""after"":16415,""before"":16416,""delta"":-1},""party:F3"":{""after"":2742,""before"":2741,""delta"":1}}",True
4c2543e68df2f3d92b3380232f466993b6c58edd,2026-09-06T20:50:14.343235+00:00,2026-09-06T22:50:14.343235+02:00,2026-09-06T20:50:15Z,2026-lsa poll 2026-09-06T20:50:14.343235+00:00,56a56a3f176057537914f8050630b42b588b245d,2026-09-06T22:44:40.986867+02:00,normalized,WAHLKREIS,Sangerhausen,TOTAL,88,88,88,lsa:WAHLKREIS:031,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:F1"":{""after"":6002,""before"":6003,""delta"":-1},""party:F5"":{""after"":735,""before"":736,""delta"":-1},""valid_votes_zweit"":{""after"":31938,""before"":31940,""delta"":-2}}",True
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,GEMEINDE,"Mücheln (Geiseltal), Stadt",TOTAL,12,12,12,lsa:GEMEINDE:15088235,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:D1"":{""after"":1209,""before"":1211,""delta"":-2},""party:D2"":{""after"":2955,""before"":2956,""delta"":-1},""party:F15"":{""after"":243,""before"":245,""delta"":-2},""party:F2"":{""after"":2882,""before"":2883,""delta"":-1},""valid_votes_erst"":{""after"":5212,""before"":5215,""delta"":-3},""valid_votes_zweit"":{""after"":5227,""before"":5230,""delta"":-3}}",True
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,KREIS,Saalekreis,TOTAL,199,199,207,lsa:KREIS:15088,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D1"":{""after"":25812,""before"":25814,""delta"":-2},""party:D2"":{""after"":54793,""before"":54794,""delta"":-1},""party:F15"":{""after"":5295,""before"":5297,""delta"":-2},""party:F2"":{""after"":53259,""before"":53260,""delta"":-1},""valid_votes_erst"":{""after"":104743,""before"":104746,""delta"":-3},""valid_votes_zweit"":{""after"":105064,""before"":105067,""delta"":-3}}",True
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,LAND,Sachsen-Anhalt,TOTAL,2519,2519,2660,lsa:LAND:15,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D1"":{""after"":285100,""before"":285102,""delta"":-2},""party:D2"":{""after"":549176,""before"":549177,""delta"":-1},""party:F15"":{""after"":63355,""before"":63357,""delta"":-2},""party:F2"":{""after"":543123,""before"":543124,""delta"":-1},""valid_votes_erst"":{""after"":1212346,""before"":1212349,""delta"":-3},""valid_votes_zweit"":{""after"":1214695,""before"":1214698,""delta"":-3}}",True
5f4bd0f68143b10399963391191ad7ae267bae10,2026-09-06T21:01:14.584325+00:00,2026-09-06T23:01:14.584325+02:00,2026-09-06T21:01:15Z,2026-lsa poll 2026-09-06T21:01:14.584325+00:00,dabef6e6806d6f4fe0b8399dc468030b204d7c00,2026-09-06T22:55:40.135282+02:00,normalized,WAHLKREIS,Querfurt,TOTAL,89,89,90,lsa:WAHLKREIS:032,numeric_decrease|revision_at_fixed_reporting_count,"{""party:D1"":{""after"":7132,""before"":7134,""delta"":-2},""party:D2"":{""after"":18374,""before"":18375,""delta"":-1},""party:F15"":{""after"":1735,""before"":1737,""delta"":-2},""party:F2"":{""after"":17731,""before"":17732,""delta"":-1},""valid_votes_erst"":{""after"":33089,""before"":33092,""delta"":-3},""valid_votes_zweit"":{""after"":33221,""before"":33224,""delta"":-3}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,GEMEINDE,"Naumburg (Saale), Stadt",TOTAL,31,31,31,lsa:GEMEINDE:15084355,revision_at_fixed_reporting_count|revision_after_complete,"{""voters_total"":{""after"":19372,""before"":19368,""delta"":4}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,GEMEINDE,Möser,TOTAL,9,9,9,lsa:GEMEINDE:15086145,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""voters_total"":{""after"":6001,""before"":6039,""delta"":-38}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,KREIS,Jerichower Land,TOTAL,114,114,116,lsa:KREIS:15086,numeric_decrease|revision_at_fixed_reporting_count,"{""voters_total"":{""after"":55781,""before"":55819,""delta"":-38}}",True
c1b83b22c5edaef8f72537b33e662882fd5eda38,2026-09-06T21:50:42.996872+00:00,2026-09-06T23:50:42.996872+02:00,2026-09-06T21:50:43Z,2026-lsa poll 2026-09-06T21:50:42.996872+00:00,22b50c3a50ef24cc5b359b52b9827daad3a65e9c,2026-09-06T23:45:11.320799+02:00,normalized,WAHLKREIS,Burg,TOTAL,65,65,66,lsa:WAHLKREIS:006,numeric_decrease|revision_at_fixed_reporting_count,"{""voters_total"":{""after"":32519,""before"":32557,""delta"":-38}}",True
034045f3d0f71c47aebf3daea47f3d33b136de5c,2026-09-06T22:00:20.311232+00:00,2026-09-07T00:00:20.311232+02:00,2026-09-07T00:01:13+02:00,Refresh LSA results to 2614 districts,4df0c5db1901da59dcf29fe843aa883797baf9aa,2026-09-06T23:56:06.793979+02:00,normalized,GEMEINDE,"Gröningen, Stadt",TOTAL,6,6,6,lsa:GEMEINDE:15083245,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:D15"":{""after"":131,""before"":130,""delta"":1},""party:D3"":{""after"":239,""before"":240,""delta"":-1},""party:D4"":{""after"":143,""before"":142,""delta"":1},""party:D5"":{""after"":57,""before"":58,""delta"":-1}}",True
